Timestamp,"1 - Você já foi vítima de algum tipo de abuso sexual por parte de um profissional da saúde, como toques ou comentários inapropriados?",2 - Como você se identifica?,4 - Quantos anos você tem?,3 - Qual a sua classe social?,5 - Com qual gênero você se identifica?,4 - Qual é a sua orientação sexual?,5 - Que tipo de abuso sexual você sofreu? (marque quantas forem necessárias),6 - Em que local ocorreu o abuso?,10 - Quantos anos você tinha quando o abuso aconteceu?,9 - Qual era a especialidade do profissional?,11 - Em qual estado aconteceu o abuso?,12 - Em qual cidade aconteceu o abuso?,15 - Você fez uma denúncia?,16 - Como foi a sua experiência no processo de Denúncia? (marque quantas forem necessárias)
1/7/2020 18:41:26,"Sim, por um profissional da saúde homem",Branca,36-40,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Clínica particular também,16-20,"Foram três situações: Clínico geral, enfermeiro e GO",São Paulo,São Paulo,Não,
1/10/2020 16:37:21,"Sim, por um profissional da saúde homem",Parda,26-30,Classe D - Renda mensal familiar até   R$ 2.004,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Injúria (Cantadas e palavras ofensivas),Posto de saúde,16-20,Clínico geral ,Ceará,Fortaleza ,Não,
1/20/2020 17:46:33,"Sim, por um profissional da saúde homem",Parda,18-25,Classe E - Renda mensal familiar até   R$ 1.254,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Injúria (Cantadas e palavras ofensivas),Hospital público,16-20,Ginecologista ,Pernambuco,Surubim ,Não,
1/20/2020 20:52:46,"Sim, por um profissional da saúde homem",Branca,26-30,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,"Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico), Injúria (Cantadas e palavras ofensivas)",Consultorio Dentista,16-20,Dentista,São Paulo,São Caetano do Sul,Não,
1/20/2020 21:42:36,"Sim, por um profissional da saúde homem",Branca,18-25,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Bissexual,Injúria (Cantadas e palavras ofensivas),Doação de Sangue em Hospital Público - HEMORIO ,16-20,"Médico, acredito eu que clínico geral",Rio de Janeiro,Rio de Janeiro,Não,
1/21/2020 7:32:58,"Sim, por um profissional da saúde homem",Branca,26-30,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Hospital público,16-20,Ginecologista ,Minas Gerais,Coronel Fabriciano ,Não,
1/21/2020 17:02:01,"Sim, por um profissional da saúde homem",Branca,31-35,Classe D - Renda mensal familiar até   R$ 2.004,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Bissexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Clínica particular,16-20,Endocrinologista ,Rio Grande do Sul,Porto Alegre ,Não,
1/31/2020 19:55:08,"Sim, por um profissional da saúde homem",Parda,31-35,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Bissexual,Injúria (Cantadas e palavras ofensivas),Hospital particular,16-20,Cardiologia,Amapá,Macapá,Não,
2/5/2020 14:44:39,"Sim, por um profissional da saúde homem",Branca,36-40,Classe A - Renda mensal familiar acima de R$11.261,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Clínica particular,16-20,Ginecologista,São Paulo,São Paulo,Não,
1/13/2020 14:20:50,"Sim, por uma profissional da saúde mulher",Branca,36-40,Classe A - Renda mensal familiar acima de R$11.261,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Bissexual,,Clínica particular,16-20,ginecologista,Distrito Federal,Brasília,Não,
